"id","manufacturer","name","core_name","core_count","manufacturer_tech","frequency","thermal_design_power","release_date","release_price","sSpec","voltage","created_at","updated_at","vram_bit_width","i_gpu","part_number","socket"
125,"Intel","Core i3-3240T","Ivy Bridge ",2,22,2.9,35,"2012-09-01",138,,,"2015-03-09 23:57:22.878567","2015-03-09 23:57:22.878571",,"HD Graphics 2500","CM8063701194400","1155"
126,"Intel","Core i7-4820K","Ivy Bridge-E",4,22,3.7,130,"2013-09-01",310,,,"2015-03-09 23:57:22.878629","2015-03-09 23:57:22.878634",,,"CM8063301292805","2011"
127,"Intel","Core i7-4930K","Ivy Bridge-E",6,22,3.4,130,"2013-09-01",555,,,"2015-03-09 23:57:22.878694","2015-03-09 23:57:22.878698",,,"CM8063301292702","2011"
128,"Intel","Core i7-4960X","Ivy Bridge-E",6,22,3.6,130,"2013-09-01",990,,,"2015-03-09 23:57:22.878763","2015-03-09 23:57:22.878767",,,"CM8063301292500","2011"
129,"Intel","Core i7-4771","Haswell",4,22,3.5,84,"2013-09-01",320,,,"2015-03-09 23:57:22.87882","2015-03-09 23:57:22.878824",,"HD Graphics 4600","CM8064601464302","1150"
130,"Intel","Core i5-3340","Ivy Bridge ",4,22,3.1,77,"2013-09-01",182,,,"2015-03-09 23:57:22.878883","2015-03-09 23:57:22.878887",,"HD Graphics 2500","CM8063701399700","1155"
131,"Intel","Core i5-3340S","Ivy Bridge ",4,22,2.8,65,"2013-09-01",182,,,"2015-03-09 23:57:22.878949","2015-03-09 23:57:22.878953",,"HD Graphics 2500","CM8063701387400","1155"
132,"Intel","Core i5-4440","Haswell",4,22,3.1,84,"2013-09-01",182,,,"2015-03-09 23:57:22.879005","2015-03-09 23:57:22.879016",,"HD Graphics 4600","CM8064601464800","1150"
133,"Intel","Core i5-4440S","Haswell",4,22,2.8,65,"2013-09-01",182,,,"2015-03-09 23:57:22.879072","2015-03-09 23:57:22.879076",,"HD Graphics 4600","CM8064601465804","1150"
134,"Intel","Core i3-4130","Haswell",2,22,3.4,54,"2013-09-01",122,,,"2015-03-09 23:57:22.879139","2015-03-09 23:57:22.879143",,"HD Graphics 4400","CM8064601483615","1150"
